1537,"CAPITAL FEDERAL","C","C","999",0
1538,"ALMIRANTE BROWN","B","B","050",0
1539,"AVELLANEDA","B","B","100",0
1540,"BERAZATEGUI","B","B","150",0
1541,"ESTEBAN ECHEVERRIA","B","B","200",0
1542,"EZEIZA","B","B","201",0
1543,"FLORENCIO VARELA","B","B","250",0
1544,"GENERAL SAN MARTIN","B","B","300",0
1545,"JOSE C PAZ","B","B","351",0
1546,"MALVINAS ARGENTINAS","B","B","352",0
1547,"SAN MIGUEL","B","B","353",0
1548,"LANUS","B","B","400",0
1549,"LOMAS DE ZAMORA","B","B","450",0
1550,"LA MATANZA","B","B","500",0
1551,"MERLO","B","B","550",0
1552,"MORENO","B","B","600",0
1553,"MORON","B","B","650",0
1554,"HURLINGHAM","B","B","651",0
1555,"ITUZAINGO","B","B","652",0
1556,"QUILMES","B","B","700",0
1557,"SAN FERNANDO","B","B","750",0
1558,"SAN ISIDRO","B","B","800",0
1559,"TIGRE","B","B","850",0
1560,"TRES DE FEBRERO","B","B","900",0
1561,"VICENTE LOPEZ","B","B","950",0
1562,"ADOLFO ALSINA","B","B","009",0
1563,"ALBERTI","B","B","018",0
1564,"AYACUCHO","B","B","027",0
1565,"AZUL","B","B","036",0
1566,"BAHIA BLANCA","B","B","045",0
1567,"BALCARCE","B","B","054",0
1568,"BARADERO","B","B","063",0
1569,"BARTOLOME MITRE","B","B","072",0
1570,"BERISSO","B","B","081",0
1571,"BOLIVAR","B","B","090",0
1572,"BRAGADO","B","B","099",0
1573,"BRANDSEN","B","B","108",0
1574,"CAMPANA","B","B","117",0
1575,"CAPITAN SARMIENTO","B","B","126",0
1576,"CAÑUELAS","B","B","135",0
1577,"CARLOS CASARES","B","B","144",0
1578,"CARLOS TEJEDOR","B","B","153",0
1579,"CARMEN DE ARECO","B","B","162",0
1580,"DAIREAUX","B","B","172",0
1581,"CASTELLI","B","B","180",0
1582,"COLON","B","B","189",0
1583,"CORONEL L. ROSALES","B","B","198",0
1584,"CORONEL DORREGO","B","B","207",0
1585,"CORONEL PRINGLES","B","B","216",0
1586,"CORONEL SUAREZ","B","B","225",0
1587,"CHACABUCO","B","B","234",0
1588,"CHASCOMUS","B","B","243",0
1589,"CHIVILCOY","B","B","252",0
1590,"DOLORES","B","B","261",0
1591,"MUNICIPIO URBANO DE LA COSTA","B","B","262",0
1592,"ENSENADA","B","B","270",0
1593,"ESCOBAR","B","B","279",0
1594,"EXALT DE LA CRUZ","B","B","288",0
1595,"GENERAL ALVARADO","B","B","297",0
1596,"GENERAL ALVEAR","B","B","306",0
1597,"GENERAL ARENALES","B","B","315",0
1598,"GENERAL BELGRANO","B","B","324",0
1599,"GENERAL GUIDO","B","B","333",0
1600,"GENERAL LAMADRID","B","B","342",0
1601,"GENERAL LAS HERAS","B","B","354",0
1602,"GENERAL LAVALLE","B","B","360",0
1603,"GENERAL MADARIAGA","B","B","369",0
1604,"PINAMAR","B","B","370",0
1605,"VILLA GESELL","B","B","371",0
1606,"GENERAL PAZ","B","B","378",0
1607,"GENERAL PINTO","B","B","387",0
1608,"GENERAL PUEYRREDON","B","B","396",0
1609,"GENERAL RODRIGUEZ","B","B","405",0
1610,"GENERAL VIAMONTE","B","B","414",0
1611,"GENERAL VILLEGAS","B","B","423",0
1612,"GONZALEZ CHAVES","B","B","432",0
1613,"GUAMINI","B","B","441",0
